Rho,Potential
-8.059029514757379,-0.00020741259251218233
-8.049024512256128,-0.0002091422813474474
-8.039019509754878,-0.000210889134621071
-8.029014507253628,-0.00021265334862317998
-8.019009504752376,-0.00021443512217258362
-8.009004502251125,-0.0002162346566528094
-7.998999499749875,-0.00021805215604870214
-7.988994497248624,-0.00021988782698358688
-7.978989494747374,-0.00022174187875701143
-7.968984492246124,-0.0002236145233830768
-7.9589794897448725,-0.00022550597562936224
-7.948974487243621,-0.00022741645305646014
-7.938969484742371,-0.00022934617605812477
-7.9289644822411205,-0.00023129536790205242
-7.91895947973987,-0.00023326425477129513
-7.90895447723862,-0.0002352530658063255
-7.8989494747373685,-0.00023726203314775973
-7.888944472236118,-0.00023929139197975105
-7.878939469734867,-0.00024134138057406576
-7.868934467233617,-0.0002434122403348493
-7.858929464732366,-0.00024550421584410074
-7.848924462231116,-0.00024761755490786054
-7.8389194597298655,-0.0002497525086031278
-7.828914457228614,-0.0002519093313255183
-7.818909454727364,-0.0002540882808376738
-7.808904452226113,-0.00025628961831844103
-7.798899449724862,-0.0002585136084128231
-7.788894447223612,-0.00026076051928272903
-7.7788894447223615,-0.0002630306226585234
-7.768884442221111,-0.0002653241938913962
-7.75887943971986,-0.00026764151200656626
-7.74887443721861,-0.000269982859757328
-7.738869434717358,-0.0002723485236799621
-7.728864432216108,-0.00027473879414951775
-7.718859429714858,-0.00027715396543648887
-7.708854427213607,-0.0002795943357643919
-7.698849424712357,-0.00028206020736826497
-7.688844422211106,-0.00028455188655410413
-7.678839419709854,-0.00028706968375924826
-7.668834417208604,-0.0002896139136137336
-7.658829414707354,-0.0002921848950026342
-7.648824412206103,-0.00029478295112939985
-7.638819409704853,-0.00029740840958021256
-7.628814407203602,-0.0003000616023893789
-7.618809404702351,-0.00030274286610577553
-7.6088044022011,-0.0003054525418603633
-7.59879939969985,-0.00030819097543478954
-7.588794397198599,-0.0003109585173311012
-7.578789394697349,-0.0003137555228425791
-7.568784392196099,-0.0003165823521257198
-7.558779389694847,-0.00031943937027338175
-7.548774387193597,-0.00032232694738911367
-7.538769384692346,-0.0003252454586626907
-7.5287643821910955,-0.00032819528444687034
-7.518759379689845,-0.0003311768103353998
-7.508754377188595,-0.00033419042724228506
-7.498749374687344,-0.000337236531482351
-7.488744372186093,-0.00034031552485311073
-7.478739369684842,-0.00034342781471796745
-7.4687343671835915,-0.0003465738140907702
-7.458729364682341,-0.0003497539417217519
-7.448724362181091,-0.00035296862218486233
-7.43871935967984,-0.000356218285966533
-7.428714357178589,-0.00035950336955588714
-7.418709354677339,-0.0003628243155364251
-7.408704352176088,-0.00036618157267921035
-7.398699349674837,-0.00036957559603757777
-7.388694347173587,-0.00037300684704339625
-7.3786893446723365,-0.00037647579360490264
-7.368684342171086,-0.00037998291020614554
-7.358679339669835,-0.00038352867800805547
-7.3486743371685845,-0.00038711358495117503
-7.338669334667333,-0.0003907381258600779
-7.328664332166083,-0.0003944028025494975
-7.318659329664833,-0.00039810812393220737
-7.308654327163582,-0.00040185460612866895
-7.298649324662332,-0.0004056427725784876
-7.288644322161081,-0.00040947315415370064
-7.278639319659829,-0.00041334628927393053
-7.268634317158579,-0.00041726272402343496
-7.258629314657329,-0.0004212230122700907
-7.248624312156078,-0.00042522771578632954
-7.238619309654828,-0.00042927740437207667
-7.228614307153577,-0.00043337265597971414
-7.218609304652326,-0.0004375140568411039
-7.208604302151075,-0.00044170220159671364
-7.198599299649825,-0.00044593769342686685
-7.188594297148574,-0.0004502211441851681
-7.178589294647324,-0.0004545531745341266
-7.168584292146074,-0.00045893441408302344
-7.158579289644822,-0.0004633655015280561
-7.148574287143572,-0.00046784708479479827
-7.138569284642321,-0.00047237982118301735
-7.12856428214107,-0.0004769643775138801
-7.11855927963982,-0.0004816014302796005
-7.10855427713857,-0.000486291665795553
-7.098549274637319,-0.0004910357803549061
-7.088544272136068,-0.0004958344803858101
-7.078539269634817,-0.0005006884826111843
-7.0685342671335665,-0.0005055985142111431
-7.058529264632316,-0.0005105653129881116
-7.048524262131066,-0.0005155896275346669
-7.038519259629815,-0.0005206722174041497
-7.028514257128564,-0.0005258138532841016
-7.018509254627314,-0.0005310153171725583
-7.0085042521260625,-0.0005362774025572613
-6.998499249624812,-0.0005416009145978208
-6.988494247123562,-0.0005469866703108901
-6.9784892446223115,-0.00055243549875839
-6.968484242121061,-0.0005579482412388367
-6.95847923961981,-0.0005635257514818231
-6.9484742371185595,-0.0005691688958457024
-6.938469234617308,-0.0005748785535185265
-6.928464232116058,-0.0005806556167222845
-6.9184592296148075,-0.0005865009909205092
-6.908454227113557,-0.0005924155950292782
-6.898449224612307,-0.0005984003616316941
-6.888444222111056,-0.0006044562371958687
-6.878439219609805,-0.000610584182296487
-6.868434217108554,-0.0006167851718399965
-6.858429214607304,-0.0006230601952934719
-6.848424212106053,-0.0006294102569172331
-6.838419209604803,-0.0006358363760012439
-6.8284142071035525,-0.0006423395871053717
-6.818409204602301,-0.0006489209403035559
-6.80840420210105,-0.0006555815014319461
-6.7983991995998,-0.0006623223523410647
-6.788394197098549,-0.0006691445911520661
-6.778389194597299,-0.0006760493325171348
-6.768384192096049,-0.0006830377078840919
-6.758379189594797,-0.0006901108657652751
-6.748374187093547,-0.0006972699720107438
-6.738369184592296,-0.0007045162100858791
-6.728364182091045,-0.0007118507813534284
-6.718359179589795,-0.0007192749053600797
-6.708354177088545,-0.0007267898201275982
-6.698349174587294,-0.0007343967824486142
-6.688344172086043,-0.0007420970681871051
-6.678339169584793,-0.0007498919725836519
-6.668334167083541,-0.0007577828105655198
-6.658329164582291,-0.0007657709170616281
-6.648324162081041,-0.0007738576473224858
-6.63831915957979,-0.0007820443772451384
-6.62831415707854,-0.0007903325037031954
-6.618309154577289,-0.0007987234448820065
-6.6083041520760375,-0.0008072186406190473
-6.598299149574787,-0.0008158195527495629
-6.588294147073537,-0.0008245276654575613
-6.578289144572286,-0.0008333444856321848
