No.,X,Y,Z
1 1     1.957218     0.000000     0.000000,,,
2 1     1.583422     1.150424     2.130000,,,
3 1     0.604813     1.861425     4.260000,,,
4 1    -0.604813     1.861425     6.390000,,,
5 1    -1.583422     1.150424     8.520000,,,
6 1    -1.957218     0.000000    10.650000,,,
7 1    -1.583422    -1.150424    12.780000,,,
8 1    -0.604813    -1.861425    14.910000,,,
9 1     0.604813    -1.861425    17.040000,,,
10 1     1.583422    -1.150424    19.170000,,,
11 1     1.583422     1.150424     0.710000,,,
12 1     0.604813     1.861425     2.840000,,,
13 1    -0.604813     1.861425     4.970000,,,
14 1    -1.583422     1.150424     7.100000,,,
15 1    -1.957218     0.000000     9.230000,,,
16 1    -1.583422    -1.150424    11.360000,,,
17 1    -0.604813    -1.861425    13.490000,,,
18 1     0.604813    -1.861425    15.620000,,,
19 1     1.583422    -1.150424    17.750000,,,
20 1     0.604813     1.861425     0.000000,,,
21 1    -0.604813     1.861425     2.130000,,,
22 1    -1.583422     1.150424     4.260000,,,
23 1    -1.957218     0.000000     6.390000,,,
24 1    -1.583422    -1.150424     8.520000,,,
25 1    -0.604813    -1.861425    10.650000,,,
26 1     0.604813    -1.861425    12.780000,,,
27 1     1.583422    -1.150424    14.910000,,,
28 1    -0.604813     1.861425     0.710000,,,
29 1    -1.583422     1.150424     2.840000,,,
30 1    -1.957218     0.000000     4.970000,,,
31 1    -1.583422    -1.150424     7.100000,,,
32 1    -0.604813    -1.861425     9.230000,,,
33 1     0.604813    -1.861425    11.360000,,,
34 1     1.583422    -1.150424    13.490000,,,
35 1    -1.583422     1.150424     0.000000,,,
36 1    -1.957218     0.000000     2.130000,,,
37 1    -1.583422    -1.150424     4.260000,,,
38 1    -0.604813    -1.861425     6.390000,,,
39 1     0.604813    -1.861425     8.520000,,,
40 1     1.583422    -1.150424    10.650000,,,
41 1    -1.957218     0.000000     0.710000,,,
42 1    -1.583422    -1.150424     2.840000,,,
43 1    -0.604813    -1.861425     4.970000,,,
44 1     0.604813    -1.861425     7.100000,,,
45 1     1.583422    -1.150424     9.230000,,,
46 1    -1.583422    -1.150424     0.000000,,,
47 1    -0.604813    -1.861425     2.130000,,,
48 1     0.604813    -1.861425     4.260000,,,
49 1     1.583422    -1.150424     6.390000,,,
50 1    -0.604813    -1.861425     0.710000,,,
51 1     0.604813    -1.861425     2.840000,,,
52 1     1.583422    -1.150424     4.970000,,,
53 1     0.604813    -1.861425     0.000000,,,
54 1     1.583422    -1.150424     2.130000,,,
55 1     1.583422    -1.150424     0.710000,,,
56 1     1.957218     0.000000     2.840000,,,
57 1     1.583422     1.150424     4.970000,,,
58 1     0.604813     1.861425     7.100000,,,
59 1    -0.604813     1.861425     9.230000,,,
60 1    -1.583422     1.150424    11.360000,,,
61 1    -1.957218     0.000000    13.490000,,,
62 1    -1.583422    -1.150424    15.620000,,,
63 1    -0.604813    -1.861425    17.750000,,,
64 1     0.604813    -1.861425    19.880000,,,
65 1     1.583422    -1.150424    22.010000,,,
66 1     1.957218     0.000000     4.260000,,,
67 1     1.583422     1.150424     6.390000,,,
68 1     0.604813     1.861425     8.520000,,,
69 1    -0.604813     1.861425    10.650000,,,
70 1    -1.583422     1.150424    12.780000,,,
71 1    -1.957218     0.000000    14.910000,,,
72 1    -1.583422    -1.150424    17.040000,,,
73 1    -0.604813    -1.861425    19.170000,,,
74 1     0.604813    -1.861425    21.300000,,,
75 1     1.583422    -1.150424    23.430000,,,
76 1     1.957218     0.000000     7.100000,,,
77 1     1.583422     1.150424     9.230000,,,
78 1     0.604813     1.861425    11.360000,,,
79 1    -0.604813     1.861425    13.490000,,,
80 1    -1.583422     1.150424    15.620000,,,
81 1    -1.957218     0.000000    17.750000,,,
82 1    -1.583422    -1.150424    19.880000,,,
83 1    -0.604813    -1.861425    22.010000,,,
84 1     0.604813    -1.861425    24.140000,,,
85 1     1.957218     0.000000     8.520000,,,
86 1     1.583422     1.150424    10.650000,,,
87 1     0.604813     1.861425    12.780000,,,
88 1    -0.604813     1.861425    14.910000,,,
89 1    -1.583422     1.150424    17.040000,,,
90 1    -1.957218     0.000000    19.170000,,,
91 1    -1.583422    -1.150424    21.300000,,,
92 1    -0.604813    -1.861425    23.430000,,,
93 1     1.957218     0.000000    11.360000,,,
94 1     1.583422     1.150424    13.490000,,,
95 1     0.604813     1.861425    15.620000,,,
96 1    -0.604813     1.861425    17.750000,,,
97 1    -1.583422     1.150424    19.880000,,,
98 1    -1.957218     0.000000    22.010000,,,
99 1    -1.583422    -1.150424    24.140000,,,
100 1     1.957218     0.000000    12.780000,,,
101 1     1.583422     1.150424    14.910000,,,
102 1     0.604813     1.861425    17.040000,,,
103 1    -0.604813     1.861425    19.170000,,,
104 1    -1.583422     1.150424    21.300000,,,
105 1    -1.957218     0.000000    23.430000,,,
106 1     1.957218     0.000000    15.620000,,,
107 1     1.583422     1.150424    17.750000,,,
108 1     0.604813     1.861425    19.880000,,,
109 1    -0.604813     1.861425    22.010000,,,
110 1    -1.583422     1.150424    24.140000,,,
111 1     1.957218     0.000000    17.040000,,,
112 1     1.583422     1.150424    19.170000,,,
113 1     0.604813     1.861425    21.300000,,,
114 1    -0.604813     1.861425    23.430000,,,
115 1     1.957218     0.000000    19.880000,,,
116 1     1.583422     1.150424    22.010000,,,
117 1     0.604813     1.861425    24.140000,,,
118 1     1.957218     0.000000    21.300000,,,
119 1     1.583422     1.150424    23.430000,,,
120 1     1.957218     0.000000    24.140000,,,
