Rho,Potential
-10.0,-6.960771116620848e-05
-9.98999499749875,-7.00474584560703e-05
-9.9799899949975,-7.049050432732087e-05
-9.969984992496249,-7.093687734754731e-05
-9.959979989994997,-7.138660636426392e-05
-9.949974987493746,-7.183972050796936e-05
-9.939969984992496,-7.22962491952412e-05
-9.929964982491246,-7.275622213186706e-05
-9.919959979989995,-7.321966931601409e-05
-9.909954977488745,-7.368662104143591e-05
-9.899949974987495,-7.415710790071958e-05
-9.889944972486242,-7.463116078857053e-05
-9.879939969984992,-7.510881090513796e-05
-9.869934967483742,-7.559008975938077e-05
-9.859929964982491,-7.607502917247374e-05
-9.849924962481241,-7.656366128125559e-05
-9.83991995997999,-7.705601854171862e-05
-9.829914957478739,-7.755213373254131e-05
-9.819909954977488,-7.805203995866324e-05
-9.809904952476238,-7.855577065490466e-05
-9.799899949974987,-7.906335958962957e-05
-9.789894947473737,-7.957484086845349e-05
-9.779889944972487,-8.009024893799741e-05
-9.769884942471236,-8.060961858968685e-05
-9.759879939969984,-8.113298496359831e-05
-9.749874937468734,-8.166038355235218e-05
-9.739869934967484,-8.219185020505459e-05
-9.729864932466233,-8.272742113128698e-05
-9.719859929964983,-8.326713290514472e-05
-9.709854927463732,-8.381102246932637e-05
-9.699849924962482,-8.43591271392729e-05
-9.68984492246123,-8.49114846073581e-05
-9.67983991995998,-8.546813294713089e-05
-9.66983491745873,-8.602911061761073e-05
-9.659829914957479,-8.659445646763548e-05
-9.649824912456229,-8.716420974026396e-05
-9.639819909954978,-8.773841007723299e-05
-9.629814907453726,-8.83170975234699e-05
-9.619809904952476,-8.890031253166101e-05
-9.609804902451225,-8.948809596687817e-05
-9.599799899949975,-9.008048911126185e-05
-9.589794897448725,-9.067753366876315e-05
-9.579789894947474,-9.127927176994593e-05
-9.569784892446224,-9.188574597684803e-05
-9.559779889944972,-9.249699928790427e-05
-9.549774887443721,-9.31130751429308e-05
-9.539769884942471,-9.373401742817252e-05
-9.52976488244122,-9.43598704814141e-05
-9.51975987993997,-9.49906790971548e-05
-9.50975487743872,-9.562648853184908e-05
-9.499749874937468,-9.626734450921366e-05
-9.489744872436217,-9.691329322560089e-05
-9.479739869934967,-9.756438135544102e-05
-9.469734867433717,-9.822065605675297e-05
-9.459729864932466,-9.888216497672502e-05
-9.449724862431216,-9.954895625736663e-05
-9.439719859929966,-0.00010022107854123191
-9.429714857428714,-0.00010089858097721624
-9.419709854927463,-0.00010158151322642616
-9.409704852426213,-0.00010226992546812541
-9.399699849924962,-0.00010296386840575537
-9.389694847423712,-0.00010366339327303386
-9.379689844922462,-0.00010436855184013107
-9.369684842421211,-0.00010507939641992525
-9.35967983991996,-0.00010579597987433847
-9.349674837418709,-0.00010651835562075352
-9.339669834917459,-0.0001072465776385141
-9.329664832416208,-0.00010798070047550805
-9.319659829914958,-0.00010872077925483552
-9.309654827413707,-0.0001094668696815635
-9.299649824912457,-0.00011021902804956748
-9.289644822411205,-0.0001109773112484615
-9.279639819909955,-0.00011174177677061789
-9.269634817408704,-0.00011251248271827889
-9.259629814907454,-0.00011328948781075909
-9.249624812406203,-0.00011407285139174274
-9.239619809904953,-0.00011486263343667545
-9.229614807403703,-0.00011565889456025225
-9.21960980490245,-0.00011646169602400333
-9.2096048024012,-0.00011727109974397843
-9.19959979989995,-0.00011808716829853269
-9.1895947973987,-0.00011890996493621341
-9.17958979489745,-0.0001197395535837502
-9.169584792396199,-0.00012057599885415045
-9.159579789894947,-0.0001214193660549009
-9.149574787393696,-0.0001222697211962764
-9.139569784892446,-0.00012312713099975914
-9.129564782391196,-0.0001239916629065679
-9.119559779889945,-0.0001248633850863004
-9.109554777388695,-0.0001257423664456891
-9.099549774887445,-0.0001266286766374734
-9.089544772386192,-0.00012752238606938932
-9.079539769884942,-0.00012842356591327708
-9.069534767383692,-0.00012933228811431202
-9.059529764882441,-0.000130248625400355
-9.049524762381191,-0.00013117265129142984
-9.03951975987994,-0.00013210444010932512
-9.029514757378688,-0.00013304406698732543
-9.019509754877438,-0.00013399160788007014
-9.009504752376188,-0.00013494713957354758
-8.999499749874937,-0.00013591073969521905
-8.989494747373687,-0.00013688248672428076
-8.979489744872437,-0.00013786246000206285
-8.969484742371186,-0.0001388507397425671
-8.959479739869934,-0.00013984740704314774
-8.949474737368684,-0.00014085254389533438
-8.939469734867433,-0.00014186623319580217
-8.929464732366183,-0.00014288855875748866
-8.919459729864933,-0.00014391960532086142
-8.909454727363682,-0.00014495945856533792
-8.899449724862432,-0.00014600820512085944
-8.88944472236118,-0.00014706593257962265
-8.87943971985993,-0.0001481327295079687
-8.86943471735868,-0.00014920868545843606
-8.859429714857429,-0.00015029389098197553
-8.849424712356178,-0.00015138843764033114
-8.839419709854928,-0.0001524924180185918
-8.829414707353678,-0.00015360592573791167
-8.819409704852426,-0.00015472905546840668
